campaign,N,campaign_duration,target_dana,progress,p1,p2,p3,p4,p5
donors_maribantupembangunanmasjiddipedalamansumsel_20251221_125320.json,125,649,1651080000.0,0.004224002471109819,0.496,0.056,0.016,0.336,0.096
donors_amaljariyahpembangunanmasjidalmuniri_20251221_125413.json,94,458,1226500000.0,0.0013200163065633917,0.776595744680851,0.1276595744680851,0.05319148936170213,0.031914893617021274,0.010638297872340425
donors_masjidkemasjid_20251221_025520.json,7020,1500,250000000.0,0.11666382,0.948005698005698,0.022507122507122508,0.019800569800569802,0.005840455840455841,0.0038461538461538464
donors_pembangunanmasjidtapalbatas_20251221_125448.json,69,660,1000000000.0,0.00381142,0.5072463768115942,0.17391304347826086,0.14492753623188406,0.10144927536231885,0.07246376811594203
donors_sajadahmesjid_20251221_102158.json,166,27,20000000.0,0.1536,0.7108433734939759,0.14457831325301204,0.08433734939759036,0.04819277108433735,0.012048192771084338
donors_masjidbutuhsemen_20251221_101730.json,327,40,105000000.0,0.029142857142857144,0.8379204892966361,0.11009174311926606,0.03058103975535168,0.012232415902140673,0.009174311926605505
donors_yukbangunkembalimesjidjamaahpelosoknegeri_20251221_091836.json,260,1,25000000.0,0.16668,0.823076923076923,0.1,0.04230769230769231,0.011538461538461539,0.023076923076923078
donors_bangunmesjidmulia127_20251221_091949.json,121,2,10000000.0,0.2522,0.7024793388429752,0.09090909090909091,0.1322314049586777,0.04132231404958678,0.03305785123966942
donors_maribangunmasjidberdindingterpalyanghampirroboh_20251221_101146.json,365,30,10000000.0,0.6037,0.7397260273972602,0.1589041095890411,0.06027397260273973,0.024657534246575342,0.01643835616438356
donors_sedekahbangunmasjid712_20251221_100426.json,182,14,10000000.0,0.234,0.8296703296703297,0.1043956043956044,0.04395604395604396,0.01098901098901099,0.01098901098901099
donors_bangunmusholadinias_20251221_100648.json,608,168,100000000.0,0.2682,0.8075657894736842,0.11677631578947369,0.05098684210526316,0.014802631578947368,0.009868421052631578
donors_sedihbantubangunkembalimushollayatim_20251221_100958.json,192,3,9250000.0,0.2991351351351351,0.7552083333333334,0.11458333333333333,0.08854166666666667,0.03125,0.010416666666666666
donors_pembangunanaladamtasik_20251221_090946.json,481,74,100000000.0,0.07275,0.8024948024948025,0.11642411642411643,0.04158004158004158,0.02079002079002079,0.018711018711018712
donors_maribangunmasjidjatisarigisikdrono_20251221_091657.json,1675,600,500000000.0,0.082424,0.7438805970149254,0.04477611940298507,0.19044776119402984,0.014925373134328358,0.005970149253731343
donors_pahalajariyahwakafpembangunanmasjid_20251221_092111.json,632,460,100000000.0,0.19332,0.6550632911392406,0.21044303797468356,0.08069620253164557,0.03164556962025317,0.022151898734177215
donors_donasimasjidalfurqon1750_20251221_100244.json,133,792,1750000000.0,0.005018944,0.46616541353383456,0.11278195488721804,0.20300751879699247,0.12781954887218044,0.09022556390977443
donors_masjidpelosoktimur_20251221_102949.json,5206,158,100000000.0,0.60182144,0.8370484242890085,0.09973097617217525,0.04438893159108378,0.01210607225211376,0.0067255956956187544
donors_masjidalakbarsorong_20251221_101252.json,961,1284,2000000000.0,0.0184789735,0.7565036420395421,0.07700312174817898,0.08116545265348596,0.047866805411030174,0.037460978147762745
donors_masjidario_20251221_124111.json,306,113,116650000.0,0.08755870552936133,0.35947712418300654,0.20261437908496732,0.33986928104575165,0.06862745098039216,0.029411764705882353
donors_bantupembangunanmasjidfatchulhudadarinol_20251221_124258.json,298,61,1000000000.0,0.008598439,0.6845637583892618,0.12416107382550336,0.10738255033557047,0.04697986577181208,0.03691275167785235
donors_pembangunanmasjidmuhammadiyahalmujahidin_20251221_124431.json,478,672,80000000.0,0.060725,0.8284518828451883,0.1087866108786611,0.04184100418410042,0.010460251046025104,0.010460251046025104
donors_masjidrumahtahfiz_20251221_124621.json,999,2173,5000000000.0,0.0057832068,0.7317317317317318,0.12912912912912913,0.07207207207207207,0.031031031031031032,0.036036036036036036
donors_yukkinvestasiakhirat_20251221_124729.json,360,350,150000000.0,0.06744754666666666,0.7111111111111111,0.11666666666666667,0.1111111111111111,0.03611111111111111,0.025
donors_sedekahmasjidpantaibali_20251221_124938.json,1851,187,200000000.0,0.117515,0.8752025931928687,0.05240410588870881,0.04430037817396002,0.019448946515397084,0.00864397622906537
donors_pembangunanmasjidalbina_20251221_111709.json,1590,296,2500000000000.0,9.5581488e-06,0.8415094339622642,0.07672955974842767,0.048427672955974846,0.01949685534591195,0.013836477987421384
donors_setarapulihkanmasjid_20251221_112058.json,354,20,100000000.0,0.24098127,0.632768361581921,0.1271186440677966,0.11016949152542373,0.08192090395480225,0.0480225988700565
donors_pembangunanalhikmahbandarlampung_20251221_112615.json,1040,74,100000000.0,0.17697,0.8028846153846154,0.10865384615384616,0.051923076923076926,0.01826923076923077,0.01826923076923077
donors_pembangunanmasjidpemudamandiri_20251221_112739.json,621,47,100000000.0,0.01717,0.7933333333333333,0.12666666666666668,0.06,0.013333333333333334,0.006666666666666667
donors_masjidseko_20251221_113301.json,94,24,10000000.0,0.2672,0.5142857142857142,0.1,0.18571428571428572,0.18571428571428572,0.014285714285714285
donors_bangunmasjidpelosok25_20251221_113953.json,3974,101,100000000.0,0.03989,0.9816,0.012,0.0064,0.0,0.0